,from,open,close,min,max,volume
0,1624283700,0.75143,0.75221,0.75137,0.75226,738
1,1624284000,0.75221,0.75285,0.75194,0.75285,795
2,1624284300,0.75285,0.75285,0.75267,0.75295,823
3,1624284600,0.75283,0.75307,0.75269,0.7531,671
4,1624284900,0.75307,0.75263,0.75261,0.75311,665
5,1624285200,0.75263,0.75247,0.75241,0.7531,638
6,1624285500,0.75247,0.75271,0.75233,0.75277,536
7,1624285800,0.75271,0.7525,0.75223,0.75291,636
8,1624286100,0.7525,0.75281,0.75245,0.75315,434
9,1624286400,0.75281,0.75341,0.75281,0.75366,767
10,1624286700,0.75341,0.75344,0.75309,0.75371,611
11,1624287000,0.75344,0.75335,0.75331,0.75367,711
12,1624287300,0.75335,0.75259,0.75241,0.75335,1010
13,1624287600,0.7526,0.75269,0.75239,0.7527,605
14,1624287900,0.75269,0.75279,0.75264,0.75293,400
15,1624288200,0.75279,0.75233,0.75233,0.75283,362
16,1624288500,0.75235,0.75269,0.75232,0.75283,346
17,1624288800,0.75269,0.75287,0.75269,0.75307,387
18,1624289100,0.75287,0.75277,0.75267,0.75293,528
19,1624289400,0.75279,0.75245,0.75225,0.75283,557
20,1624289700,0.75245,0.75273,0.75245,0.75273,298
21,1624290000,0.75274,0.75289,0.75267,0.75303,273
22,1624290300,0.75291,0.75298,0.75281,0.753,252
23,1624290600,0.75298,0.75276,0.75267,0.75302,387
24,1624290900,0.75276,0.75275,0.75272,0.75295,385
25,1624291200,0.75277,0.75287,0.75277,0.75297,340
26,1624291500,0.75287,0.75307,0.75283,0.75313,264
27,1624291800,0.75307,0.75303,0.75299,0.75309,229
28,1624292100,0.75303,0.75298,0.75297,0.75323,292
29,1624292400,0.75298,0.75309,0.75285,0.75309,161
30,1624292700,0.75309,0.75319,0.75305,0.75323,300
31,1624293000,0.75319,0.75332,0.75319,0.75351,362
32,1624293300,0.75333,0.75343,0.75327,0.75345,253
33,1624293600,0.75342,0.75359,0.75342,0.75364,250
34,1624293900,0.75359,0.75345,0.75343,0.75367,152
35,1624294200,0.75345,0.75354,0.75343,0.75359,189
36,1624294500,0.75354,0.75359,0.75354,0.75375,199
37,1624294800,0.75362,0.75355,0.75355,0.75377,290
38,1624295100,0.75356,0.75363,0.75347,0.75369,234
39,1624295400,0.75363,0.75384,0.75357,0.75385,238
40,1624295700,0.75384,0.75389,0.75379,0.75409,217
41,1624296000,0.75389,0.75399,0.75388,0.75399,149
42,1624296300,0.75399,0.75395,0.75392,0.75417,222
43,1624296600,0.75395,0.75391,0.75385,0.75403,292
44,1624296900,0.75389,0.75393,0.75378,0.75393,275
45,1624297200,0.75393,0.75394,0.75391,0.75412,467
46,1624297500,0.75393,0.75395,0.75389,0.75405,264
