,from,open,close,min,max,volume
0,1624283700,0.85701,0.85699,0.85695,0.85719,554
1,1624284000,0.85698,0.85701,0.85663,0.85729,617
2,1624284300,0.857,0.85679,0.85656,0.85702,763
3,1624284600,0.85678,0.85659,0.85638,0.85684,496
4,1624284900,0.85658,0.85627,0.85611,0.85658,564
5,1624285200,0.85628,0.85655,0.85627,0.85658,539
6,1624285500,0.85655,0.85639,0.85631,0.85659,457
7,1624285800,0.85637,0.85657,0.85635,0.85659,598
8,1624286100,0.85656,0.85669,0.85646,0.85669,355
9,1624286400,0.85669,0.85671,0.85648,0.85679,578
10,1624286700,0.85671,0.85623,0.85621,0.85681,499
11,1624287000,0.85623,0.85642,0.85619,0.85668,697
12,1624287300,0.85643,0.85661,0.85643,0.85683,693
13,1624287600,0.85661,0.85651,0.85634,0.85664,842
14,1624287900,0.85651,0.8563,0.85613,0.85658,395
15,1624288200,0.8563,0.85638,0.85619,0.85641,215
16,1624288500,0.85639,0.85632,0.85617,0.85643,167
17,1624288800,0.85633,0.85623,0.85619,0.8564,175
18,1624289100,0.85623,0.85588,0.85578,0.85638,564
19,1624289400,0.85588,0.85575,0.85553,0.85593,717
20,1624289700,0.85574,0.85579,0.8557,0.85582,363
21,1624290000,0.85579,0.85589,0.85577,0.85599,448
22,1624290300,0.85589,0.85597,0.85584,0.85599,222
23,1624290600,0.85597,0.85586,0.85584,0.856,193
24,1624290900,0.85586,0.85589,0.85579,0.85591,165
25,1624291200,0.85589,0.85597,0.85585,0.85608,347
26,1624291500,0.85597,0.85604,0.85595,0.85606,201
27,1624291800,0.85604,0.85583,0.85583,0.85605,255
28,1624292100,0.85582,0.85571,0.85561,0.85583,253
29,1624292400,0.85571,0.85581,0.85571,0.85587,229
30,1624292700,0.8558,0.85564,0.85563,0.85583,132
31,1624293000,0.85564,0.85581,0.85556,0.85583,219
32,1624293300,0.85581,0.85603,0.85579,0.85607,148
33,1624293600,0.85603,0.85602,0.85595,0.85603,202
34,1624293900,0.85602,0.85579,0.85576,0.85602,119
35,1624294200,0.85579,0.85564,0.85561,0.85581,199
36,1624294500,0.85564,0.85577,0.85555,0.85583,207
37,1624294800,0.85577,0.85589,0.85565,0.85589,182
38,1624295100,0.85589,0.85593,0.85579,0.85593,187
39,1624295400,0.85593,0.85579,0.85573,0.85596,250
40,1624295700,0.85579,0.85559,0.85555,0.85579,216
41,1624296000,0.8556,0.85569,0.8556,0.85577,143
42,1624296300,0.85569,0.85565,0.85555,0.85571,212
43,1624296600,0.85565,0.85545,0.85545,0.85567,218
44,1624296900,0.85545,0.85551,0.85545,0.85561,198
45,1624297200,0.85551,0.85535,0.85523,0.85551,526
46,1624297500,0.85535,0.85537,0.85524,0.85537,140
47,1624297800,0.85537,0.85535,0.85533,0.85543,114
48,1624298100,0.85535,0.85529,0.85517,0.85535,207
49,1624298400,0.85529,0.85525,0.85525,0.85537,223
50,1624298700,0.85523,0.85513,0.85504,0.85523,157
51,1624299000,0.85513,0.85517,0.85513,0.85523,73
52,1624299300,0.85518,0.85511,0.85511,0.85525,161
53,1624299600,0.85511,0.85509,0.85503,0.85513,207
54,1624299900,0.85509,0.85508,0.85504,0.85511,204
55,1624300200,0.85507,0.85514,0.85506,0.85521,97
56,1624300500,0.85514,0.85511,0.85511,0.85521,60
57,1624300800,0.85511,0.85513,0.85504,0.85515,72
58,1624301100,0.85513,0.85523,0.85513,0.85523,40
59,1624301400,0.85523,0.85515,0.85514,0.85523,34
60,1624301700,0.85515,0.85496,0.85495,0.85515,140
61,1624302000,0.85497,0.85509,0.85497,0.85516,174
