,from,open,close,min,max,volume
0,1624283700,131.315,131.275,131.273,131.315,1516
1,1624284000,131.275,131.399,131.261,131.402,1643
2,1624284300,131.399,131.389,131.369,131.408,1599
3,1624284600,131.389,131.319,131.307,131.393,1286
4,1624284900,131.319,131.32,131.303,131.353,1255
5,1624285200,131.32,131.307,131.279,131.345,1211
6,1624285500,131.307,131.292,131.277,131.355,1593
7,1624285800,131.291,131.273,131.239,131.303,1598
8,1624286100,131.272,131.267,131.253,131.299,1311
9,1624286400,131.268,131.287,131.268,131.299,1320
10,1624286700,131.287,131.283,131.271,131.319,1182
11,1624287000,131.283,131.279,131.255,131.361,1765
12,1624287300,131.279,131.246,131.236,131.295,1881
13,1624287600,131.247,131.26,131.223,131.26,1285
14,1624287900,131.26,131.269,131.237,131.277,774
15,1624288200,131.269,131.258,131.258,131.289,646
16,1624288500,131.258,131.239,131.239,131.279,545
17,1624288800,131.239,131.239,131.236,131.265,467
18,1624289100,131.239,131.245,131.233,131.257,1031
19,1624289400,131.245,131.211,131.196,131.249,1433
20,1624289700,131.211,131.23,131.21,131.245,964
21,1624290000,131.23,131.265,131.23,131.285,786
22,1624290300,131.265,131.301,131.265,131.301,716
23,1624290600,131.301,131.279,131.278,131.305,687
24,1624290900,131.279,131.257,131.257,131.301,500
25,1624291200,131.257,131.247,131.245,131.281,457
26,1624291500,131.246,131.283,131.244,131.283,439
27,1624291800,131.283,131.254,131.254,131.293,436
28,1624292100,131.253,131.225,131.219,131.277,535
29,1624292400,131.225,131.235,131.225,131.255,497
30,1624292700,131.235,131.25,131.234,131.253,829
31,1624293000,131.25,131.268,131.249,131.275,517
32,1624293300,131.268,131.307,131.265,131.31,463
33,1624293600,131.307,131.317,131.303,131.327,641
34,1624293900,131.317,131.299,131.297,131.325,348
35,1624294200,131.299,131.296,131.288,131.316,469
36,1624294500,131.295,131.307,131.286,131.309,477
37,1624294800,131.307,131.311,131.301,131.325,492
38,1624295100,131.311,131.321,131.298,131.328,386
39,1624295400,131.321,131.317,131.312,131.331,432
40,1624295700,131.317,131.343,131.311,131.344,413
41,1624296000,131.345,131.344,131.34,131.357,315
42,1624296300,131.344,131.336,131.331,131.347,412
43,1624296600,131.336,131.353,131.336,131.365,482
44,1624296900,131.355,131.346,131.342,131.363,362
45,1624297200,131.346,131.373,131.341,131.381,1362
46,1624297500,131.373,131.368,131.359,131.383,610
47,1624297800,131.368,131.383,131.361,131.399,477
48,1624298100,131.383,131.387,131.379,131.414,549
49,1624298400,131.387,131.385,131.385,131.411,623
50,1624298700,131.385,131.365,131.348,131.385,463
51,1624299000,131.365,131.36,131.348,131.376,406
52,1624299300,131.361,131.374,131.361,131.385,478
53,1624299600,131.374,131.343,131.341,131.376,543
54,1624299900,131.343,131.339,131.338,131.359,406
55,1624300200,131.339,131.347,131.335,131.348,440
56,1624300500,131.348,131.361,131.345,131.365,554
57,1624300800,131.361,131.366,131.347,131.37,649
58,1624301100,131.366,131.381,131.357,131.381,255
59,1624301400,131.381,131.398,131.371,131.403,258
60,1624301700,131.398,131.331,131.327,131.399,695
61,1624302000,131.331,131.391,131.331,131.397,628
62,1624302300,131.392,131.41,131.391,131.42,320
63,1624302600,131.41,131.415,131.41,131.422,259
64,1624302900,131.416,131.439,131.409,131.455,631
65,1624303200,131.439,131.431,131.417,131.444,417
66,1624303500,131.431,131.444,131.424,131.451,305
67,1624303800,131.445,131.429,131.423,131.449,338
68,1624304100,131.429,131.435,131.427,131.452,303
69,1624304400,131.433,131.421,131.413,131.441,320
70,1624304700,131.421,131.423,131.419,131.433,318
71,1624305000,131.423,131.424,131.407,131.441,674
72,1624305300,131.425,131.439,131.405,131.443,532
73,1624305600,131.439,131.443,131.417,131.443,438
74,1624305900,131.445,131.423,131.423,131.45,343
75,1624306200,131.424,131.471,131.423,131.471,221
76,1624306500,131.471,131.446,131.438,131.471,153
77,1624306800,131.447,131.452,131.447,131.457,99
78,1624307100,131.452,131.463,131.452,131.478,223
79,1624307400,131.465,131.483,131.457,131.485,338
80,1624307700,131.483,131.483,131.467,131.498,221
81,1624308000,131.483,131.487,131.471,131.491,320
82,1624308300,131.487,131.483,131.471,131.487,229
83,1624308600,131.482,131.485,131.469,131.485,558
84,1624308900,131.485,131.376,131.375,131.494,417
85,1624309200,131.376,131.481,131.361,131.481,20
86,1624309500,131.481,131.477,131.471,131.501,150
87,1624309800,131.477,131.472,131.471,131.483,16
88,1624310100,131.472,131.469,131.466,131.479,21
89,1624310400,131.469,131.469,131.469,131.487,10
90,1624310700,131.469,131.462,131.462,131.469,8
91,1624311000,131.462,131.469,131.451,131.478,34
92,1624311300,131.469,131.485,131.469,131.487,18
93,1624311600,131.485,131.471,131.471,131.485,14
94,1624311900,131.472,131.467,131.452,131.472,87
95,1624312200,131.467,131.477,131.467,131.478,25
96,1624312500,131.477,131.465,131.461,131.482,106
97,1624312800,131.461,131.473,131.458,131.484,369
98,1624313100,131.473,131.459,131.451,131.473,96
99,1624313400,131.459,131.467,131.449,131.473,196
100,1624313700,131.468,131.442,131.441,131.469,84
101,1624314000,131.443,131.454,131.443,131.461,196
102,1624314300,131.454,131.431,131.429,131.454,165
103,1624314600,131.432,131.435,131.427,131.441,298
104,1624314900,131.435,131.431,131.431,131.447,380
105,1624315200,131.433,131.437,131.421,131.441,337
106,1624315500,131.438,131.459,131.429,131.459,324
107,1624315800,131.459,131.461,131.445,131.461,109
108,1624316100,131.461,131.444,131.444,131.461,87
109,1624316400,131.445,131.431,131.431,131.457,257
110,1624316700,131.431,131.415,131.413,131.437,268
111,1624317000,131.416,131.409,131.405,131.42,216
112,1624317300,131.409,131.416,131.408,131.425,325
113,1624317600,131.416,131.423,131.411,131.437,332
114,1624317900,131.423,131.463,131.423,131.466,135
115,1624318200,131.463,131.527,131.463,131.535,572
116,1624318500,131.527,131.535,131.521,131.545,339
117,1624318800,131.535,131.523,131.513,131.537,295
118,1624319100,131.523,131.478,131.478,131.525,206
119,1624319400,131.478,131.485,131.473,131.501,264
120,1624319700,131.485,131.485,131.469,131.487,237
121,1624320000,131.485,131.389,131.389,131.492,1146
122,1624320300,131.389,131.387,131.387,131.415,852
123,1624320600,131.387,131.38,131.371,131.391,387
