,from,open,close,min,max,volume
0,1624283700,1.19063,1.19111,1.19063,1.19118,1210
1,1624284000,1.19111,1.1917,1.19091,1.19175,1213
2,1624284300,1.1917,1.19174,1.19143,1.19189,951
3,1624284600,1.19174,1.19175,1.19127,1.19189,863
4,1624284900,1.19175,1.19147,1.19143,1.19179,814
5,1624285200,1.19147,1.19133,1.1913,1.19198,792
6,1624285500,1.19133,1.19169,1.19129,1.19173,1167
7,1624285800,1.19168,1.19132,1.19112,1.19181,974
8,1624286100,1.19133,1.19158,1.19109,1.19179,897
9,1624286400,1.19158,1.19193,1.19147,1.19197,847
10,1624286700,1.19193,1.19163,1.19143,1.19201,710
11,1624287000,1.19162,1.19169,1.19149,1.19206,937
12,1624287300,1.19169,1.19105,1.19101,1.19171,1109
13,1624287600,1.19105,1.19119,1.19087,1.19121,1062
14,1624287900,1.19119,1.19144,1.19107,1.19155,469
15,1624288200,1.19143,1.19137,1.19137,1.19163,436
16,1624288500,1.19137,1.1914,1.19133,1.19169,339
17,1624288800,1.1914,1.19127,1.19125,1.19162,336
18,1624289100,1.19125,1.1911,1.19097,1.19139,618
19,1624289400,1.19111,1.19052,1.19037,1.19113,971
20,1624289700,1.19051,1.1907,1.19042,1.19079,636
21,1624290000,1.1907,1.19097,1.19063,1.19108,538
22,1624290300,1.19097,1.19115,1.19087,1.19115,386
23,1624290600,1.19115,1.19097,1.1909,1.19119,431
24,1624290900,1.19096,1.19087,1.19085,1.19117,411
25,1624291200,1.19087,1.19095,1.19087,1.19115,371
26,1624291500,1.19095,1.19137,1.19095,1.19138,370
27,1624291800,1.19137,1.19107,1.19107,1.19145,269
28,1624292100,1.19106,1.1908,1.19072,1.19126,272
29,1624292400,1.19081,1.19096,1.19072,1.19101,217
30,1624292700,1.19095,1.19116,1.19093,1.19118,175
31,1624293000,1.19116,1.19147,1.19116,1.19149,259
32,1624293300,1.19147,1.19183,1.19147,1.19187,205
33,1624293600,1.19182,1.19202,1.19182,1.19214,341
34,1624293900,1.19203,1.19185,1.19183,1.19211,252
35,1624294200,1.19185,1.19185,1.19181,1.19203,265
36,1624294500,1.19185,1.19191,1.19185,1.19211,388
37,1624294800,1.19191,1.19191,1.19181,1.19211,280
38,1624295100,1.19191,1.19185,1.19171,1.19191,264
39,1624295400,1.19185,1.19188,1.19173,1.19195,259
40,1624295700,1.19187,1.19185,1.19173,1.19199,307
41,1624296000,1.19185,1.19199,1.19185,1.19205,205
42,1624296300,1.19199,1.19177,1.19175,1.19203,207
43,1624296600,1.19178,1.19155,1.19155,1.19185,282
44,1624296900,1.19155,1.19156,1.19149,1.19165,249
45,1624297200,1.19156,1.19161,1.19154,1.19175,429
46,1624297500,1.19161,1.19163,1.19146,1.19171,333
47,1624297800,1.19163,1.19147,1.19138,1.19167,251
48,1624298100,1.19147,1.1914,1.1914,1.19161,214
49,1624298400,1.1914,1.19125,1.19125,1.19143,380
50,1624298700,1.19125,1.19121,1.19102,1.19133,274
51,1624299000,1.19121,1.19135,1.19116,1.19139,218
52,1624299300,1.19135,1.19153,1.19133,1.19162,202
53,1624299600,1.19153,1.19125,1.19123,1.19155,354
54,1624299900,1.19125,1.19143,1.19125,1.19152,278
55,1624300200,1.19143,1.19148,1.19133,1.19151,221
56,1624300500,1.19149,1.19133,1.19133,1.19157,199
57,1624300800,1.19133,1.19137,1.19131,1.19147,241
58,1624301100,1.19137,1.19134,1.19123,1.19142,165
59,1624301400,1.19134,1.19159,1.19133,1.19159,127
60,1624301700,1.19158,1.19081,1.19079,1.19158,495
61,1624302000,1.19081,1.19148,1.19081,1.19155,431
62,1624302300,1.19148,1.19161,1.19147,1.19165,224
63,1624302600,1.1916,1.19159,1.19158,1.19173,180
64,1624302900,1.19159,1.19179,1.19157,1.19194,322
65,1624303200,1.19179,1.19159,1.19155,1.19185,251
66,1624303500,1.19158,1.19169,1.19153,1.19176,228
67,1624303800,1.19169,1.19174,1.19153,1.19179,328
68,1624304100,1.19174,1.19168,1.19157,1.19177,191
69,1624304400,1.19167,1.19154,1.19153,1.19169,151
70,1624304700,1.19155,1.19163,1.19151,1.19171,150
71,1624305000,1.19165,1.19177,1.19157,1.19177,227
72,1624305300,1.19177,1.19185,1.19165,1.19193,330
73,1624305600,1.19186,1.19168,1.19164,1.19187,236
74,1624305900,1.19168,1.19181,1.19168,1.19204,206
75,1624306200,1.19181,1.19179,1.19173,1.19187,117
76,1624306500,1.19179,1.19174,1.19174,1.19185,79
77,1624306800,1.19174,1.19171,1.19169,1.19175,23
78,1624307100,1.19171,1.1916,1.19155,1.19171,73
79,1624307400,1.1916,1.19165,1.19159,1.19175,75
80,1624307700,1.19165,1.19175,1.19163,1.19175,32
81,1624308000,1.19175,1.19191,1.19175,1.19193,88
82,1624308300,1.19191,1.19188,1.1918,1.19193,91
83,1624308600,1.19188,1.19187,1.19181,1.19192,216
84,1624308900,1.19185,1.19179,1.19173,1.19192,207
85,1624309200,1.19179,1.1918,1.19177,1.19182,25
86,1624309500,1.1918,1.1918,1.19177,1.19184,15
