,from,open,close,min,max,volume
0,1624283700,1.38929,1.38985,1.38923,1.38986,454
1,1624284000,1.38986,1.39051,1.38953,1.39081,792
2,1624284300,1.39051,1.39095,1.39049,1.39122,613
3,1624284600,1.39093,1.39125,1.39066,1.39131,519
4,1624284900,1.39127,1.39146,1.39127,1.39191,567
5,1624285200,1.39147,1.39085,1.39078,1.39191,514
6,1624285500,1.39084,1.39152,1.3908,1.39157,447
7,1624285800,1.39153,1.39081,1.39068,1.39156,445
8,1624286100,1.39081,1.39089,1.39065,1.39142,460
9,1624286400,1.3909,1.39129,1.39083,1.39152,490
10,1624286700,1.39129,1.39171,1.39101,1.39179,506
11,1624287000,1.39171,1.39145,1.39139,1.39189,494
12,1624287300,1.39145,1.39041,1.39012,1.39145,872
13,1624287600,1.39041,1.39073,1.39031,1.39089,656
14,1624287900,1.39073,1.39139,1.39065,1.39165,321
15,1624288200,1.39139,1.3912,1.39118,1.39167,172
16,1624288500,1.3912,1.3913,1.39115,1.39173,182
17,1624288800,1.39129,1.39131,1.39121,1.3917,200
18,1624289100,1.3913,1.39161,1.39114,1.39177,366
19,1624289400,1.39162,1.39121,1.39121,1.39166,398
20,1624289700,1.39122,1.39135,1.39113,1.39151,272
21,1624290000,1.39134,1.39151,1.39115,1.39158,259
22,1624290300,1.39151,1.39157,1.39137,1.39167,167
23,1624290600,1.39157,1.3915,1.39146,1.39171,253
24,1624290900,1.3915,1.39139,1.39135,1.39178,168
25,1624291200,1.39139,1.39135,1.3913,1.39151,225
26,1624291500,1.39134,1.39168,1.39134,1.39169,172
27,1624291800,1.39168,1.39169,1.39167,1.39181,224
28,1624292100,1.39171,1.39159,1.39152,1.39211,289
29,1624292400,1.39159,1.39161,1.3914,1.39165,101
30,1624292700,1.39161,1.39213,1.39161,1.39217,181
31,1624293000,1.39213,1.3922,1.39209,1.39257,266
32,1624293300,1.39221,1.39227,1.39213,1.39239,193
33,1624293600,1.39228,1.3925,1.39228,1.39267,240
34,1624293900,1.3925,1.39271,1.3925,1.39287,145
35,1624294200,1.39271,1.39293,1.39269,1.39313,144
36,1624294500,1.39293,1.39281,1.39275,1.39322,140
37,1624294800,1.39282,1.39259,1.39257,1.39301,232
38,1624295100,1.39259,1.39249,1.3924,1.3926,111
39,1624295400,1.39244,1.39271,1.39243,1.39283,112
40,1624295700,1.39269,1.39302,1.39267,1.39313,105
41,1624296000,1.39299,1.39299,1.39289,1.39304,89
42,1624296300,1.39299,1.39281,1.39275,1.39322,121
43,1624296600,1.39283,1.39291,1.39282,1.39303,97
44,1624296900,1.39291,1.39281,1.39261,1.39297,116
45,1624297200,1.39281,1.39313,1.39281,1.39344,422
